iter	RMSE
0	1.28061951
1	1.253950901
2	1.233031267
3	1.207180471
4	1.182965599
5	1.160578875
6	1.140676767
7	1.113962826
8	1.086588374
9	1.060301927
10	1.03689543
11	1.01566669
12	0.996137865
13	0.977294961
14	0.9593928601
15	0.9433204348
16	0.9286249487
17	0.9142300994
18	0.9014113794
19	0.889124408
20	0.8770192555
21	0.8676902742
22	0.8579016662
23	0.848653376
24	0.8400024472
25	0.8318323295
26	0.8245495368
27	0.819654159
28	0.814312101
29	0.8086704392
30	0.8040014339
31	0.7986670025
32	0.7934947021
33	0.7894427444
34	0.7852890685
35	0.7815576369
36	0.7778458628
37	0.7750909481
38	0.7724822587
39	0.770262889
40	0.7673103449
41	0.7646253328
42	0.762126989
43	0.7596229006
44	0.7574834651
45	0.7554509857
46	0.7533744474
47	0.7517198553
48	0.7500000607
49	0.7485435419
50	0.7469375515
51	0.7454706575
52	0.7440509739
53	0.7425901567
54	0.7411327713
55	0.739917506
56	0.7387877337
57	0.7373615667
58	0.7365481892
59	0.7357529157
60	0.7349634702
61	0.7334144234
62	0.7322077878
63	0.7311239326
64	0.729343733
65	0.7281623044
66	0.7268769126
67	0.7255624899
68	0.7245944875
69	0.7236720805
70	0.7228178579
71	0.7217648917
72	0.7209395329
73	0.7200431566
74	0.7196095672
75	0.7187074754
76	0.7180645129
77	0.7172512237
78	0.7167282508
79	0.7161983092
80	0.7152768883
81	0.7144986051
82	0.7138729391
83	0.7133730407
84	0.7127925964
85	0.7124078694
86	0.7117490216
87	0.7109897165
88	0.7100464114
89	0.7090382296
90	0.7078839214
91	0.7072440947
92	0.7065604315
93	0.705871667
94	0.7053960489
95	0.704809259
96	0.7040925595
97	0.7035765331
98	0.7030167426
99	0.7024413552
100	0.7020022491
101	0.7015596252
102	0.7009534538
103	0.7003796344
104	0.6997160481
105	0.6990901623
106	0.698799382
107	0.6987375342
108	0.6982323158
109	0.6976685314
110	0.6963439343
111	0.6956078857
112	0.695077453
113	0.6947683165
114	0.6944906767
115	0.6941508628
116	0.6938785604
117	0.6922345694
118	0.691736059
119	0.6906756319
120	0.6903553707
121	0.6899285327
122	0.6895103884
123	0.6889845714
124	0.6886235193
125	0.687915653
126	0.6876016423
127	0.6871027168
128	0.6862722948
129	0.6860675755
130	0.6858328771
131	0.6856054274
132	0.6849408266
133	0.6847041695
134	0.6842282069
135	0.6839433657
136	0.6834889083
137	0.6825696076
138	0.6818636902
139	0.6817201694
140	0.6814937747
141	0.6812520061
142	0.6810617831
143	0.6806991879
144	0.6804960127
145	0.6803550388
146	0.6801337372
147	0.679902206
148	0.6796271685
149	0.6795235379
150	0.6786145416
151	0.6781170041
152	0.6778646911
153	0.6775920567
154	0.6770660777
155	0.6762763848
156	0.676050329
157	0.6758043925
158	0.6757560231
159	0.6754137483
160	0.6742744092
161	0.6740012451
162	0.6736418374
163	0.6734173943
164	0.6723087681
165	0.6721680048
166	0.6719334684
167	0.6712244682
168	0.6709928054
169	0.670821523
170	0.6703283325
171	0.6702241674
172	0.6697878871
173	0.6692663793
174	0.6688171557
175	0.6686676425
176	0.6684358975
177	0.6684337649
178	0.6681863476
179	0.6681168675
180	0.6675620354
181	0.6673204866
182	0.6669620241
183	0.6666049017
184	0.6662517706
185	0.6660525262
186	0.6652227304
187	0.6651781058
188	0.6646750439
189	0.664552884
190	0.6630605202
191	0.6624419198
192	0.6618161602
193	0.660516693
194	0.6591671911
195	0.6588984007
196	0.6587915677
197	0.6586360627
198	0.6585683223
199	0.6583743887
200	0.6580022419
201	0.6574390179
202	0.6557430263
203	0.6553032356
204	0.6540871537
205	0.6538761242
206	0.6537041158
207	0.6532299719
208	0.6527956393
209	0.6526881682
210	0.652021228
211	0.6519059288
212	0.6511486762
213	0.6508250019
214	0.6505860062
215	0.6505331056
216	0.650259777
217	0.6502253515
218	0.6500439122
219	0.6487834591
220	0.6483171237
221	0.6467682821
222	0.646483602
223	0.6464056164
224	0.6463935508
225	0.6452980952
226	0.6438539198
227	0.6437818795
228	0.6437180136
229	0.642632199
230	0.6416474409
231	0.6413999798
232	0.6413793114
233	0.6412640407
234	0.6410150426
235	0.64093452
236	0.6407389937
237	0.6405220535
238	0.6395950077
239	0.6393950033
240	0.6382243645
241	0.6372706973
242	0.6372532114
243	0.6364373508
244	0.6362545804
245	0.6360853134
246	0.6359285303
247	0.6357089817
248	0.635563543
249	0.6355478686
250	0.6354132455
251	0.635288512
252	0.6351729255
253	0.6351087425
254	0.6350007732
255	0.6339697246
256	0.6338700112
257	0.6333328817
258	0.6332397891
259	0.6331818742
260	0.6331321709
261	0.6330444562
262	0.6328638763
263	0.6316510545
264	0.6315695119
265	0.6304256992
266	0.6303497108
267	0.6294440758
268	0.6285847266
269	0.6275691168
270	0.6274385889
271	0.6272890558
272	0.6272218903
273	0.626568438
274	0.6258110227
275	0.6255685643
276	0.6252798471
277	0.6252265906
278	0.6251078322
279	0.6250294106
280	0.624660237
281	0.6246054547
282	0.6243608737
283	0.6241332778
284	0.6240230592
285	0.6239812011
286	0.6233830899
287	0.6226866336
288	0.6221681918
289	0.622037757
290	0.6219862654
291	0.6216402861
292	0.6215152962
293	0.6213369146
294	0.6210109546
295	0.6208963177
296	0.6208288343
297	0.6205794444
298	0.6204364792
299	0.6202231811
300	0.6199937817
301	0.6198703122
302	0.6197709925
303	0.619699389
304	0.6193911706
305	0.6193600493
306	0.6187571017
307	0.618106603
308	0.6177962259
309	0.6176895045
310	0.617386342
311	0.6170968629
312	0.6168918052
313	0.6167961659
314	0.6165332874
315	0.6162630895
316	0.6161728788
317	0.6161153789
318	0.6159422817
319	0.6157084253
320	0.6155879108
321	0.6153870182
322	0.6153059272
323	0.6147239564
324	0.6146481143
325	0.6145001029
326	0.6143183164
327	0.6142493695
328	0.6140482824
329	0.6137879296
330	0.6134809455
331	0.6133275839
332	0.6130177807
333	0.6125721193
334	0.6124408143
335	0.6119142559
336	0.6118870822
337	0.6114081457
338	0.6113378464
339	0.6112113631
340	0.6110350978
341	0.6104418654
342	0.6102018018
343	0.6100662345
344	0.6095001497
345	0.6093531045
346	0.6089258622
347	0.6088483798
